Maker,2W,3W,4W
GOBIND AGRO INDUSTRIES,0,0,5
GODAWARI ELECTRIC MOTORS PVT LTD,0,7,0
GODAWARI TECHNO SOLUTIONS PVT LTD,0,4,0
GODREJ AND BOYCE MFG CO LTD,0,0,5
GODREJ & BOYCE MFG. CO. LTD,0,0,25
GOENKA ELECTRIC MOTOR VEHICLES PVT LTD,0,43,0
GOPAL AUTO MOTORS PVT LTD,0,101,0
GOPAL ENGG. WORKS,0,0,1
"GOPAL ENGINEERING, BALASORE",0,0,6
GOREEN E-MOBILITY PVT LTD,245,0,0
GOYAL AGRO INDUSTRIES,0,0,1
GRAM TARANG EMPLOYABILITY TRAINNING SERVICES P LTD,0,4,0
GRD MOTORS,0,214,0
GREAVES ELECTRIC MOBILITY PVT LTD,551,0,0
GREEN IMPEX,0,42,0
GREEN SHUTTLE TECHNOLOGY PVT LTD,0,1,0
GREEN STAR MOTORS,0,20,0
GREENTECH AUTO LLP,0,1,0
GREEN TECHNOLOGIES,0,7,0
GREEN VALLEY MOTORS,0,1,0
GREENWHEELS AUTOMOBILE PVT LTD,0,73,0
GROMAX AGRI EQUIPMENT LTD,0,0,200
GROVE INDIA PVT LTD,0,0,4
GUANGDONG TAYO (IMPORTER: ADISHWAR AUTO),3,0,0
GURDEEP AGRO  INDUSTRIES,0,0,1
GURDEEP ENGINEERING WORKS,0,0,1
GURM AGRICULTURE WORKS,0,0,2
GURMUKH AGRO INDUSTRIES,0,0,1
GURU JI WHEELS,0,8,0
GURUKIRPA INDUSTRIES,0,3,0
GURU NANAK AGRI ENGG WORKS,0,0,35
GURU NANAK AGRI WORKS,0,0,1
GURU NANAK AGRO INDUSTRIES,0,0,1
HAARISH AUTOMOTIVES (OPC) PRIVATE LIMITED,0,1,0
HAMM AG,0,0,12
HARJEET AGRO INDUSTRIES,0,0,7
HARLEY DAVIDSON (IMPORTER: HERO MOTOCORP),18,0,0
HARMEET AGRICULTURE WORKS,0,0,4
HARSHVIE INDUSTRIES PVT LTD,0,1,0
HERO ELECTRIC VEHICLES PVT. LTD,3333,0,0
HERO MOTOCORP LTD,411847,0,0
