Maker,2W,3W,4W
GOLD HOFER,0,0,4
GOPAL AUTO MOTORS PVT LTD,0,121,0
GOREEN E-MOBILITY PVT LTD,180,0,0
GRAM TARANG EMPLOYABILITY TRAINNING SERVICES P LTD,0,25,0
GRD MOTORS,0,319,0
GREAVES ELECTRIC MOBILITY PVT LTD,4184,0,0
GREEN EVOLVE PVT LTD,0,10,0
GREEN IMPEX,0,42,0
GREEN SHUTTLE TECHNOLOGY PVT LTD,0,7,0
GREEN STAR MOTORS,0,31,0
GREEN TACK EMPALA ELECTRIC MOTOR COMPANY,0,3,0
GREEN TECHNOLOGIES,0,40,0
GREENWHEELS AUTOMOBILE PVT LTD,0,81,0
GROMAX AGRI EQUIPMENT LTD,0,0,256
GROVE INDIA PVT LTD,0,0,3
GUANGDONG TAYO (IMPORTER: ADISHWAR AUTO),6,0,0
GURDEEP AGRO  INDUSTRIES,0,0,1
GURMUKH AGRO INDUSTRIES,0,0,3
GURUKRAPA ENGINEERING WORKS,0,0,2
GURU NANAK AGRICULTURE IMPLEMENTS,0,0,1
GURU NANAK AGRI ENGG WORKS,0,0,26
GURU NANAK AGRI WORKS,0,0,1
GURU NANAK AGRO INDUSTRIES,0,0,4
HAMM AG,0,0,2
HARDEV AGRO TECH,0,0,7
HARJEET AGRO INDUSTRIES,0,0,6
HARLEY DAVIDSON (IMPORTER: HERO MOTOCORP),10,0,0
HARMEET AGRICULTURE WORKS,0,0,9
HERO ELECTRIC VEHICLES PVT. LTD,666,0,0
HERO HONDA MOTORS  LTD,1,0,0
HERO MOTOCORP LTD,421327,0,0
HIMANI AGRO INDUSTRIES,0,0,1
HIM TEKNOFORGE LTD,0,32,0
HIND AGRO INDUSTRIES,0,0,5
HINDUSTAN AGRO INDUSTRIES,0,0,6
HINDUSTAN MOTOR CORPORATION,0,113,0
HINDUSTAN MOTOR FINANCE CORPORATION LIMITED,0,0,7
HIRA AGRO INDUSTRIES,0,0,10
HITECH ENGINEERING LTD,0,0,4
HI-TECH INDUSTRIES,0,6,0
HITECH  MECHANICAL WORKS,0,2,0
HITENDRA WELDING WORKS,0,0,7
HOLLAND TRACTORS PVT LTD,0,0,1
HOMFEEL VEGH AUTOMOBILES PVT LTD,2,0,0
HONDA CARS INDIA LTD,0,0,8564
HONDA MOTORCYCLE AND SCOOTER INDIA (P) LTD,403691,0,3
HONGKONG YIXING (IMPORTER: ADMS MARKETING),12,0,0
HOOGHLY MOTORS PVT LTD,0,353,0
HOP ELECTRIC MOBILITY PVT LTD,19,0,0
HOP MOTORS PVT LTD,0,90,0
HOTAGE INDIA,0,1193,0
HOVEL CYLINDER PVT LTD,0,8,0
H R AGRO INDUSTRIES,0,0,2
HSU DRAGON (IMPORTER: DARK FIGHT POWER PVT LTD),1,0,0
HUNDAL INDUSTRIES,0,47,0
HYKON INDIA LTD,0,5,0
HYUNDAI MOTOR INDIA LTD,0,0,52167
"HYUNDAI MOTORS LTD, SOUTH KOREA",0,0,3
IDEAL JAWA INDIA PVT LTD,1,0,0
INDERPREET AGRO INDUSTRIES,0,0,1
INDIA KAWASAKI MOTORS PVT LTD,309,0,0
INDIAN MOTORS,0,164,0
INDIA SAFE ENTERPRISE,0,52,0
INDIA YAMAHA MOTOR PVT LTD,55504,0,1
INDO FARM EQUIPMENT LIMITED,0,0,229
INTERNATIONAL TRACTORS LIMITED,0,0,7718
INVVIGORS INDIA,0,17,0
IPL TECH ELECTRIC PVT LTD,0,0,2
ISHWAR FARMLINE EQUIPMENTS PRIVATE LIMITED,0,0,1
ISHWAR FARMLINE EQUIPMENTS PVT LTD,0,0,4
ISUKII GREENS PVT LTD,0,3,0
ISUZU MOTORS INDIA PVT LTD,0,0,169
IVOOMI INNOVATION PVT LTD,148,0,0
IZANAU ELECTRIC LLP,2,0,0
JADE KOREA SPINE LIFE,0,13,0
JADHAV AGRO INDUSTRIES PVT. LTD.,0,0,1
JAGDAMBA TRAILERS PVT LTD,0,0,25
JAGUAR LAND ROVER INDIA LIMITED,0,0,442
JAIDKA POWER SYSTEMS PVT LTD,0,17,0
JAIN POWER CORP,0,1,0
JAISIK BUSINESS LINKS PVT LTD,0,77,0
JAI SRI RAM ELECTRIC VEHICLE MANUFACTURING PVT LTD,0,19,0
JAJODIA COMMODITIES PVT LTD,0,113,0
JAL ENTERPRISES,0,3,0
JAY AGRO INDUSTRIES,0,0,9
JBM AUTO LIMITED,0,0,2
JCB INDIA LIMITED,0,0,3672
JESSUN TECHNO PVT LTD,0,27,0
JIANGSU AIMA (IMPORTER: FUTURE EV),2,0,0
JIANGSU AIMA (IMPORTER: QUANTUM ENERGY),11,0,0
JIANGSU DALONG (IMPORTER: KINGCHE MOBILITY),6,0,0
JIANGSU DALONG (IMPORTER: SABOO TOR),3,0,0
JIANGSU DALONG (IMPORTER:TYLOS ELECTRIC VEHICLES),3,0,0
JIANGSU JINPENG (IMPORTER: KKL HITECH EV),0,2,0
JIANGSU SUNHOU (IMPORTER: SABOO TOR),1,0,0
