Maker,2W,3W,4W
DIAMOND E VEHICLES,0,47,0
DILLI ELECTRIC AUTO PVT LTD,0,2290,0
DIVANSU AUTOMOBILES LTD,0,8,0
DIVYA ENTERPRISES,0,78,0
DONGMA VEHICLE (IMPORTER: MERCURY METALS),7,0,0
DOOSAN BOBCAT INDIA PVT LTD,0,0,45
D S INDUSTRIES,0,1,0
DUCATI INDIA PVT LTD,39,0,0
DUCATI MOTOR HOLDING S.P.A,1,0,0
DUKE AUTO INDIA,0,140,0
DULEVO INDIA PVT LTD,0,0,1
"DURGA AGRO ENGG,BALASORE",0,0,1
"DURGA&DURGA ENGG WORKS,BHMPUR",0,0,1
"DURGA & DURGA ENG WORKS, HALADIAPADAR, GANJAM",0,0,3
DURGA ENGINEERING WORKS,0,0,4
DURGA FILTERS PVT LTD,1,0,0
"DWARI ENGG WORKS,SAMBALPUR",0,0,1
DYNAPAC ROAD CONSTRUCTION EQUIPMENT INDIA PVT LTD,0,0,14
DYS IMPEX PRIVATE LIMITED,0,82,0
E-ASHWA AUTOMOTIVE PVT LTD,0,23,0
EBUZZ MOBILITY LLP,0,7,0
ECO DYNAAMIC EQUIPMENTS,0,4,0
ECO FUEL SYSTEMS (I) PVT LTD,41,0,0
ECO SMART VEHICLES PVT LTD,0,148,0
EDMRC MANNSCHAFT LLP,0,8,0
EFEV CHARGING SOLUTION PVT LTD,0,60,0
E-GURU AUTO ENERGY,0,36,0
EICHER MOTORS LTD,0,0,2
EICHER TRACTORS,0,0,5647
ELECTRA INTERNATIONAL,0,2,0
ELECTRECA VEHICLES,1,0,0
ELECTRIC ALLIANCE(IMPORTER: ELLYSIUM AUTOMOTIVES),1,0,0
ELITE AUTO ENGINEERS PVT LTD,0,190,0
ELSA CONCRETING MACHINERY INDIA PVT LTD,0,0,1
ELTHOR ENERGY PRIVATE LIMITED,8,0,0
E-MOTION AUTOMOTIVE INDUSTRY LLP,0,45,0
ENERGY ELECTRIC VEHICLES,0,1262,0
ENGINIA VEHICLES PVT LTD,0,16,0
ENGTIAN ELECTRIC BIKE PVT LTD,56,0,0
ENIGMA AUTOMOBILES PVT LTD,1,0,0
ENTICE IMPEX PVT LTD,0,69,0
EPOWER VEHICLES PVT LTD,0,1,0
ERISHA E MOBILITY PVT LTD,0,6,0
E ROYCE MOTORS INDIA PVT LTD,2,0,0
ESCORTS CONSTRUCTION EQUIPMENT LTD,0,0,1
ESCORTS KUBOTA LIMITED (AGRI MACHINERY GROUP),0,0,8165
ESCORTS KUBOTA LIMITED (CONSTRUCTION EQUIPMENT),0,0,477
ESCORTS R&D CENTRE,1,0,0
E-SPRINTO GREEN ENERGY PVT LTD,12,0,0
ESSAR ENGINEERING,0,0,1
ETRIO AUTOMOBILES PVT LTD,0,1,0
EULER MOTORS PVT LTD,0,337,0
EVAGE AUTOMOTIVE PVT LTD,0,0,16
EVCO AUTOMOBILES PVT LTD,0,14,0
EVEX AUTO INDIA PVT LTD,0,6,0
EVTRIC MOTORS PVT LTD,16,0,0
EXERVAL PVT LTD,5,0,0
EXIDE INDUSTRIES LTD,0,232,0
EXTRA FAST SOLUTIONS,0,83,0
EXTREME MOTORS,0,9,0
FARMTECH AGRO INDUSTRIES,0,0,1
FCA INDIA AUTOMOBILES PRIVATE LIMITED,0,0,502
FEDE INDUSTRIES PVT LTD,0,83,0
FERRARI INDIA PRIVATE LIMITED,0,0,5
FERRARI SPA,0,0,2
FIADO INDUSTRIES PVT LTD,2,0,0
FIELDTRACK EARTHMOVERS PVT LTD,0,0,3
FIRST CHOICE ELECTRIC VEHICLES PVT LTD,0,55,0
FIVE ELEMENTS,0,19,0
FORCE MOTORS LIMITED,0,0,1637
FSTMOTO (IMPORTER: AUTOICARE INNOVATION),14,0,0
GAGAN AUTOMOTIVES,0,60,0
GAHIR AGRICULTURAL INDUSTRIES,0,0,8
GALVANIC AUTO PVT LTD,0,10,0
GANESH AGRO INDUSTRIES,0,0,11
GAURI AUTO INDIA PVT. LTD,0,1,0
GAYATRI ELECTRIC VEHICLES PVT LTD,0,270,0
GENERAL MOTORS INDIA PVT LTD,0,0,1
G & G AUTOMOTIVE,0,149,0
GILLPREETAGRO INDUSTRIES,0,0,4
G.K E-VEHICLS INDUSTRIES PVT LTD,0,34,0
GKON ELECTRIC MOTOR VEHICLES PVT LTD,0,54,0
G.K. RICKSHAW PVT LTD,0,341,0
G. M. VEHICLE INDUSTRIES,0,1,0
GOBIND AGRO INDUSTRIES,0,0,9
GODAWARI ELECTRIC MOTORS PVT LTD,48,20,0
GODAWARI TECHNO SOLUTIONS PVT LTD,0,3,0
GODREJ AND BOYCE MFG CO LTD,0,0,7
GODREJ & BOYCE MFG. CO. LTD,0,0,33
GOENKA ELECTRIC MOTOR VEHICLES PVT LTD,0,22,0
GOPAL AUTO MOTORS PVT LTD,0,139,0
"GOPAL ENGINEERING, BALASORE",0,0,1
