Maker,2W,3W,4W
DHAR IN PVT LTD,0,2,0
DHAR INTERNATIONAL,0,5,0
DHIMAN AGRICULTURE,0,0,1
DHIMAN AGRO INDUSTRIES,0,0,1
"DIAMOND ENGG,CTC",0,0,2
DIAMOND E VEHICLES,0,26,0
DILLI ELECTRIC AUTO PVT LTD,0,2007,0
DIVANSU AUTOMOBILES LTD,0,4,0
DIVYA ENTERPRISES,0,64,0
D K DIESELS PVT LTD,0,0,2
DONGMA VEHICLE (IMPORTER: MERCURY METALS),0,14,0
DOOSAN BOBCAT INDIA PVT LTD,0,0,53
D S INDUSTRIES,0,1,0
DSR EV MOBILITY PVT LTD,0,1,0
DUCATI INDIA PVT LTD,35,0,0
DUCATI MOTOR HOLDING S.P.A,1,0,0
DUKE AUTO INDIA,0,76,0
DULEVO INDIA PVT LTD,0,0,6
"DURGA AGRO ENGG,BALASORE",0,0,3
"DURGA&DURGA ENGG WORKS,BHMPUR",0,0,3
"DURGA & DURGA ENG WORKS, HALADIAPADAR, GANJAM",0,0,2
DURGA ENGINEERING WORKS,0,0,10
"DWARI ENGG WORKS,SAMBALPUR",0,0,1
DYNAPAC ROAD CONSTRUCTION EQUIPMENT INDIA PVT LTD,0,0,16
DYS IMPEX PRIVATE LIMITED,0,51,0
E-ASHWA AUTOMOTIVE (HS 2W) PVT LTD,1,0,0
E-ASHWA AUTOMOTIVE PVT LTD,0,18,0
EBUZZ MOBILITY LLP,0,4,0
ECO DYNAAMIC EQUIPMENTS,0,5,0
ECO FUEL SYSTEMS (I) PVT LTD,29,0,0
ECO SMART VEHICLES PVT LTD,0,138,0
EDMRC MANNSCHAFT LLP,0,6,0
EFEV CHARGING SOLUTION PVT LTD,0,54,0
E-GURU AUTO ENERGY,0,16,0
EICHER MOTORS LTD,1,0,0
EICHER TRACTORS,0,0,6231
EIMCO ELECON,0,0,1
ELECTRA INTERNATIONAL,0,2,0
ELECTRECA VEHICLES,8,0,0
ELECTRIC ALLIANCE(IMPORTER: ELLYSIUM AUTOMOTIVES),2,0,0
ELEPHANTA INDUSTRIES PVT LTD,0,1,0
ELITE AUTO ENGINEERS PVT LTD,0,151,0
ELSA CONCRETING MACHINERY INDIA PVT LTD,0,0,1
ELTHOR ENERGY PRIVATE LIMITED,9,0,0
E-MOTION AUTOMOTIVE INDUSTRY LLP,0,40,0
ENERGY ELECTRIC VEHICLES,0,1044,0
ENGINIA VEHICLES PVT LTD,0,20,0
ENGTIAN ELECTRIC BIKE PVT LTD,46,0,0
ENIGMA AUTOMOBILES PVT LTD,2,0,0
ENTICE IMPEX PVT LTD,0,93,0
ERISHA E MOBILITY PVT LTD,0,8,0
E ROYCE MOTORS INDIA PVT LTD,0,5,0
ESCORTS CONSTRUCTION EQUIPMENT LTD,0,0,2
ESCORTS KUBOTA LIMITED (AGRI MACHINERY GROUP),0,0,8195
ESCORTS KUBOTA LIMITED (CONSTRUCTION EQUIPMENT),0,0,561
ESCORTS R&D CENTRE,0,0,1
E-SPRINTO GREEN ENERGY PVT LTD,12,0,0
ETRIO AUTOMOBILES PVT LTD,0,3,0
EULER MOTORS PVT LTD,0,321,0
EVAGE AUTOMOTIVE PVT LTD,0,0,10
EVCO AUTOMOBILES PVT LTD,0,13,0
EVEX AUTO INDIA PVT LTD,0,11,0
EVTRIC MOTORS PVT LTD,29,0,0
EXIDE INDUSTRIES LTD,0,206,0
EXTRA FAST SOLUTIONS,0,79,0
EXTREME MOTORS,0,15,0
FARMTECH AGRO INDUSTRIES,0,0,1
FCA INDIA AUTOMOBILES PRIVATE LIMITED,0,0,497
FEDE INDUSTRIES PVT LTD,0,78,0
FIADO INDUSTRIES PVT LTD,6,0,0
FIELDTRACK EARTHMOVERS PVT LTD,0,0,6
FINE EQUIPMENTS INDIA PVT LTD,0,0,1
FIORI CONCRETE MACHINES INDIA PVT LTD,0,0,2
FIRST CHOICE ELECTRIC VEHICLES PVT LTD,0,41,0
FITWEL MOBILITY PVT LTD,0,1,0
FIVE ELEMENTS,0,14,0
FORCE MOTORS LIMITED,0,0,2309
FORD INDIA PVT LTD,0,0,1
FSTMOTO (IMPORTER: AUTOICARE INNOVATION),9,0,0
GAGAN AUTOMOTIVES,0,88,0
GAHIR AGRO INDUSTRIES LIMITED,0,0,3
GANESH AGRO INDUSTRIES,0,0,8
GAURA ELECTRIC VEHICLES PVT LTD,1,0,0
GAYATRI AGRO INDUSTRIES,0,0,1
GAYATRI ELECTRIC VEHICLES PVT LTD,0,268,0
G & G AUTOMOTIVE,0,118,0
GILL AGRICULTURE WORKS,0,0,4
G.K E-VEHICLS INDUSTRIES PVT LTD,0,45,0
GKON ELECTRIC MOTOR VEHICLES PVT LTD,0,54,0
G.K. RICKSHAW PVT LTD,0,387,0
G. M. VEHICLE INDUSTRIES,0,1,0
GOBIND AGRO INDUSTRIES,0,0,17
GOBIND MOTOR GARAGE,0,0,1
GODAWARI ELECTRIC MOTORS PVT LTD,35,20,0
GODAWARI TECHNO SOLUTIONS PVT LTD,0,2,0
GODREJ & BOYCE MFG. CO. LTD,0,0,18
GOENKA ELECTRIC MOTOR VEHICLES PVT LTD,0,7,0
GOPAL AUTO MOTORS PVT LTD,0,132,0
GOPAL ENGG. WORKS,0,0,1
GOREEN E-MOBILITY PVT LTD,136,0,0
GRAM TARANG EMPLOYABILITY TRAINNING SERVICES P LTD,0,11,0
GRD MOTORS,0,437,0
GREAVES ELECTRIC MOBILITY PVT LTD,2358,0,0
GREEN EVOLVE PVT LTD,0,21,0
GREENFIT INDUSTRIES LLP,0,8,0
GREEN IMPEX,0,30,0
GREEN SHUTTLE TECHNOLOGY PVT LTD,0,4,0
GREEN STAR MOTORS,0,27,0
GREEN TACK EMPALA ELECTRIC MOTOR COMPANY,0,5,0
GREEN TECHNOLOGIES,0,15,0
GREENWHEELS AUTOMOBILE PVT LTD,0,63,0
GROMAX AGRI EQUIPMENT LTD,0,0,325
GROVE INDIA PVT LTD,0,0,4
GUANGDONG TAYO (IMPORTER: ADISHWAR AUTO),14,0,0
GURDEEP ENGINEERING WORKS,0,0,7
GURM AGRICULTURE WORKS,0,0,1
GURMUKH AGRO INDUSTRIES,0,0,1
GURUKIRPA INDUSTRIES,0,1,0
GURU NANAK AGRI ENGG WORKS,0,0,22
GURU NANAK AGRI WORKS,0,0,6
GURU NANAK AGRO INDUSTRIES,0,0,2
HANUMAN UDYOG,0,7,0
HARDEV AGRO TECH,0,0,3
HARJEET AGRO INDUSTRIES,0,0,16
HARLEY DAVIDSON (IMPORTER: HERO MOTOCORP),22,0,0
HARMEET AGRICULTURE WORKS,0,0,17
HARSH TRADING CO,0,9,0
HD HYUNDAI CONSTRUCTION EQUIPMENT INDIA PVT LTD,0,0,1
HEMAVATHI AGRO INDUSTRIES,0,0,1
HERO ELECTRIC VEHICLES PVT. LTD,419,0,0
HERO HONDA MOTORS  LTD,3,0,0
HERO MOTOCORP LTD,411603,0,1
HIGHWAY ENGING WORKS,0,0,1
HIMANI AGRO INDUSTRIES,0,0,1
HIM TEKNOFORGE LTD,0,44,0
HIND AGRO INDUSTRIES,0,0,9
HINDUSTAN AGRO INDUSTRIES,0,0,1
HINDUSTAN MOTOR CORPORATION,0,94,0
HINDUSTAN MOTOR FINANCE CORPORATION LIMITED,0,0,4
