Maker,2W,3W,4W
GREEN TECHNOLOGIES,0,43,0
GREEN VALLEY MOTORS,0,1,0
GREENWHEELS AUTOMOBILE PVT LTD,0,84,0
GROMAX AGRI EQUIPMENT LTD,0,0,253
GROVE INDIA PVT LTD,0,0,1
G.T TRADER,0,2,0
GUANGDONG TAYO (IMPORTER: ADISHWAR AUTO),9,0,0
GUANGXI MEIBAO(IMPORTER: DYNAMO ELECTRIC),1,0,0
GURDEEP ENGINEERING WORKS,0,0,3
GURJEET COMBINE,0,0,1
GURM AGRICULTURE WORKS,0,0,2
GURMUKH AGRO INDUSTRIES,0,0,7
GURUKRAPA ENGINEERING WORKS,0,0,2
GURU NANAK AGRI ENGG WORKS,0,0,11
GURU NANAK AGRI WORKS,0,0,3
GURU NANAK AGRO INDUSTRIES,0,0,1
HAITEK AUTOMOTIVE PVT LTD,0,18,0
HAMM AG,0,0,2
HANUMAN UDYOG,0,24,0
HARDEV AGRO TECH,0,0,1
HARJEET AGRO INDUSTRIES,0,0,10
HARLEY DAVIDSON (IMPORTER: HERO MOTOCORP),15,0,0
HARMEET AGRICULTURE WORKS,0,0,10
HARSH TRADING CO,0,9,0
HARYANA MOTORS PVT LTD,0,1,0
HD HYUNDAI CONSTRUCTION EQUIPMENT INDIA PVT LTD,0,0,3
H-D MOTOR COMPANY INDIA PVT LTD,1,0,0
HERO ELECTRIC VEHICLES PVT. LTD,195,0,0
HERO HONDA MOTORS  LTD,9,0,0
HERO MOTOCORP LTD,360081,3,0
HEXALL MOTORS PVT LTD,0,1,0
HIMANI AGRO INDUSTRIES,0,0,2
HIM TEKNOFORGE LTD,0,35,0
HIND AGRO INDUSTRIES,0,0,2
HINDUSTAN ENGINEERING WORKS AP312870753,0,0,1
HINDUSTAN MOTOR CORPORATION,0,77,0
HINDUSTAN MOTOR FINANCE CORPORATION LIMITED,0,0,4
HIRA AGRO INDUSTRIES,0,0,14
HITECH ENGINEERING LTD,0,0,2
HI-TECH INDUSTRIES,0,3,0
HITECH  MECHANICAL WORKS,0,2,0
HITENDRA WELDING WORKS,0,0,2
HOMFEEL VEGH AUTOMOBILES PVT LTD,1,0,0
HONDA CARS INDIA LTD,0,0,4963
HONDA MOTORCYCLE AND SCOOTER INDIA (P) LTD,353990,0,3
HONGKONG YIXING (IMPORTER: ADMS MARKETING),26,0,0
HONGKONG YIXING (IMPORTER: VICTORY ELECTRIC),1,0,0
HOOGHLY MOTORS PVT LTD,0,546,0
HOP ELECTRIC MOBILITY PVT LTD,42,0,0
HOP MOTORS PVT LTD,0,33,0
HOTAGE INDIA,0,1271,0
HOVEL CYLINDER PVT LTD,0,12,0
H R AGRO INDUSTRIES,0,0,7
HUNDA EV PVT LTD,0,32,0
HUNDAL INDUSTRIES,0,102,0
HYKON INDIA LTD,0,3,0
HYUNDAI MOTOR INDIA LTD,0,0,43440
"HYUNDAI MOTORS LTD, SOUTH KOREA",0,0,1
INDERPREET AGRO INDUSTRIES,0,0,4
INDIA KAWASAKI MOTORS PVT LTD,263,0,1
INDIAN MOTORS,0,203,0
INDIA SAFE ENTERPRISE,0,23,0
INDIA YAMAHA MOTOR PVT LTD,52214,0,1
INDITAL CONSTRUCTION MACHINERY,0,0,1
INDO FARM EQUIPMENT LIMITED,0,0,199
INS AUTOMOBILES PVT LTD,0,121,0
INTERNATIONAL CARS & MOTORS LIMITED,0,0,3
INTERNATIONAL TRACTORS LIMITED,0,0,8503
INVVIGORS INDIA,0,7,0
IPL TECH ELECTRIC PVT LTD,0,0,20
ISHWAR FARMLINE EQUIPMENTS PRIVATE LIMITED,0,0,2
ISUZU MOTORS INDIA PVT LTD,0,0,143
IVOOMI INNOVATION PVT LTD,96,0,0
IZANAU ELECTRIC LLP,1,0,0
JADE KOREA SPINE LIFE,0,2,0
JADHAV AGRO INDUSTRIES PVT. LTD.,0,0,3
JAGUAR LAND ROVER INDIA LIMITED,0,0,517
JAIDKA POWER SYSTEMS PVT LTD,0,4,0
JAIN POWER CORP,0,16,0
JAISIK BUSINESS LINKS PVT LTD,0,46,0
JAI SRI RAM ELECTRIC VEHICLE MANUFACTURING PVT LTD,0,6,0
JAJODIA COMMODITIES PVT LTD,0,262,0
JAY AGRO INDUSTRIES,0,0,10
JAY BHAVANI TRAILOR,0,0,1
JBM AUTO LIMITED,0,0,3
JCB INDIA LIMITED,0,0,2403
JEEVAA E-BIKE MFG PVT LTD,2,0,0
JESSOP & COMPANY LTD,0,0,1
JESSUN TECHNO PVT LTD,0,14,0
JIANGSU AIMA (IMPORTER: FUTURE EV),7,0,0
JIANGSU DALONG (IMPORTER: KINGCHE MOBILITY),2,0,0
JIANGSU DALONG (IMPORTER: SABOO TOR),1,0,0
JIANGSU DALONG (IMPORTER:TYLOS ELECTRIC VEHICLES),1,0,0
JIANGSU JINPENG (IMPORTER: KKL HITECH EV),0,3,0
JIANGSU JINPENG (IMPORTER:RAFT MOTORS P. LTD),5,0,0
JIANGSU SUNHOU (IMPORTER: SABOO TOR),1,0,0
JIANGSU ZHEENAIDA (IMPORTER: KLB GLOBAL),4,0,0
JITENDRA NEW EV-TECH PVT. LTD,42,0,0
JITENDRA TEMPO PARTS,0,65,0
JIWAN AGRICULTURAL IMPLEMENTS WORKSHOP CIS LTD,0,0,1
J K AGRO INDUSTRIES,0,0,5
JMSSP AGRO INDUSTRIES PVT LTD,0,0,10
JMT VEHICLES PVT LTD,0,286,0
JOHN DEERE INDIA  PVT LTD(TRACTOR DEVISION),0,0,5338
J P AUTO TECH,0,14,0
J S AGRO INDUSTRIES,0,0,7
J. S. AGRO INDUSTRIES,0,0,1
J. S. AUTO (P) LTD,0,1091,0
JS MOBILEON PVT LTD,0,122,0
JSW MG MOTOR INDIA PVT LTD,0,0,4117
JUNENG MOTORCYCLE (IMPORTER: ADMS MARKETING),8,0,0
JUNENG MOTORCYCLE (IMPORTER: ISCOOT MOTERS),9,0,0
JUNENG MOTORCYCLE (IMPORTER: JHEV MOTORS PVT LTD),6,0,0
JUNENG MOTORCYCLE TECH. (IMPORTER: DELTA AUTOCORP),3,0,0
KABIRA MOBILITY LLP,1,0,0
KABMAX ELECTRIC AUTOMOBILES PVT. LTD,0,37,0
KADESEETLA AASHIRWAD GP INDUSTRIES PVT LTD,0,1,0
KAINING (HONGKONG) (IMPORTER: COMPTECH MOTOCORP),1,0,0
